sc_name,genus,species,type,family
,Elaeagnus,angustifolia,,Elaeagnaceae
,Elateriospermum,tapos,,Euphorbiaceae
,Endiandra,laxiflora,,Lauraceae
,Endiandra,palmerstonii,,Lauraceae
,Endocomia,macrocoma,,Myristicaceae
,Endopleura,uchi,,Humiriaceae
,Endospermum,diadenum,,Euphorbiaceae
,Endospermum,macrophyllum,,Euphorbiaceae
,Endospermum,medullosum,,Euphorbiaceae
,Endospermum,moluccanum,,Euphorbiaceae
,Endospermum,peltatum,,Euphorbiaceae
,Engelhardtia,roxburghiana,,Juglandaceae
,Entandrophragma,angolense,,Meliaceae
,Entandrophragma,candollei,,Meliaceae
,Entandrophragma,congoense,,Meliaceae
,Entandrophragma,cylindricum,,Meliaceae
,Entandrophragma,utile,,Meliaceae
,Enterolobium,contortisiliquum,,Leguminosae
,Enterolobium,cyclocarpum,,Leguminosae
,Enterolobium,schomburgkii,,Leguminosae
,Enterolobium,timbouva,,Leguminosae
,Eperua,falcata,,Leguminosae
,Eperua,grandiflora,,Leguminosae
,Eperua,jenmanii,,Leguminosae
,Eperua,rubiginosa,,Leguminosae
,Eriotheca,globosa,,Malvaceae
,Erisma,calcaratum,,Vochysiaceae
,Erisma,lanceolatum,,Vochysiaceae
,Erisma,nitidum,,Vochysiaceae
,Erisma,uncinatum,,Vochysiaceae
,Erythrophleum,ivorense,,Leguminosae
,Erythrophleum,suaveolens,,Leguminosae
,Erythroxylum,mannii,,Erythroxylaceae
,Eschweilera,sagotiana,,Lecythidaceae
,Eucalyptus,alba,,Myrtaceae
,Eucalyptus,astringens,,Myrtaceae
,Eucalyptus,bridgesiana,,Myrtaceae
,Eucalyptus,camaldulensis,,Myrtaceae
,Eucalyptus,cloeziana,,Myrtaceae
,Eucalyptus,coolabah,,Myrtaceae
,Eucalyptus,deglupta,,Myrtaceae
,Eucalyptus,delegatensis,,Myrtaceae
,Eucalyptus,diversicolor,,Myrtaceae
,Eucalyptus,dives,,Myrtaceae
,Eucalyptus,eugenioides,,Myrtaceae
,Eucalyptus,globoidea,,Myrtaceae
,Eucalyptus,globulus,,Myrtaceae
,Eucalyptus,globulus,,Myrtaceae
,Eucalyptus,maidenii,,Myrtaceae
,Eucalyptus,grandis,,Myrtaceae
,Eucalyptus,longifolia,,Myrtaceae
,Eucalyptus,marginata,,Myrtaceae
,Eucalyptus,melliodora,,Myrtaceae
,Eucalyptus,moluccana,,Myrtaceae
,Eucalyptus,nitens,,Myrtaceae
,Eucalyptus,obliqua,,Myrtaceae
,Eucalyptus,paniculata,,Myrtaceae
,Eucalyptus,papuana,,Myrtaceae
,Eucalyptus,pilularis,,Myrtaceae
,Eucalyptus,regnans,,Myrtaceae
,Eucalyptus,resinifera,,Myrtaceae
,Eucalyptus,robusta,,Myrtaceae
,Eucalyptus,socialis,,Myrtaceae
,Eucalyptus,tereticornis,,Myrtaceae
,Eucryphia,cordifolia,,Cunoniaceae
,Eucryphia,lucida,,Cunoniaceae
,Euroschinus,vieillardii,,Anacardiaceae
,Eusideroxylon,melagangai,,Lauraceae
,Eusideroxylon,zwageri,,Lauraceae
,Euxylophora,paraensis,,Rutaceae
,Exbucklandia,populnea,,Hamamelidaceae
,Excoecaria,agallocha,,Euphorbiaceae
,Exostema,caribaeum,,Rubiaceae
,Fagaropsis,angolensis,,Rutaceae
,Fagraea,crenulata,,Gentianaceae
,Fagraea,elliptica,,Gentianaceae
,Fagraea,fragrans,,Gentianaceae
,Fagraea,gracilipes,,Gentianaceae
,Fagus,grandifolia,,Fagaceae
,Fagus,sylvatica,,Fagaceae
,Falcataria,moluccana,,Leguminosae
,Falconeria,insignis,,Euphorbiaceae
,Sapium,insigne,,Euphorbiaceae
,Ficus,coerulescens,,Moraceae
,Ficus,killipii,,Moraceae
,Ficus,crassiuscula,,Moraceae
,Ficus,hartwegii,,Moraceae
,Ficus,insipida,,Moraceae
,Ficus,mathewsii,,Moraceae
,Ficus,nymphaeifolia,,Moraceae
,Ficus,anguina,,Moraceae
,Ficus,obliqua,,Moraceae
,Ficus,eugenioides,,Moraceae
,Ficus,pertusa,,Moraceae
,Ficus,subandina,,Moraceae
,Ficus,trigona,,Moraceae
,Ficus,watkinsiana,,Moraceae
,Fillaeopsis,discophora,,Leguminosae
,Fleroya,ledermannii,,Rubiaceae
,Fleroya,stipulosa,,Rubiaceae
,Flindersia,australis,,Rutaceae
,Flindersia,brayleyana,,Rutaceae
,Flindersia,ifflaiana,,Rutaceae
,Flindersia,pimenteliana,,Rutaceae
,Flindersia,schottiana,,Rutaceae
,Frangula,alnus,,Rhamnaceae
,Rhamnus,frangula,,Rhamnaceae
,Frangula,purshiana,,Rhamnaceae
,Fraxinus,americana,,Oleaceae
,Fraxinus,excelsior,,Oleaceae
,Fraxinus,latifolia,,Oleaceae
,Fraxinus,mandshurica,,Oleaceae
,Fraxinus,nigra,,Oleaceae
,Fraxinus,ornus,,Oleaceae
,Fraxinus,pennsylvanica,,Oleaceae
,Fraxinus,profunda,,Oleaceae
,Fraxinus,quadrangulata,,Oleaceae
,Funtumia,africana,,Apocynaceae
,Garcinia,cowa,,Clusiaceae
,Garuga,pinnata,,Burseraceae
,Geissois,benthamiana,,Cunoniaceae
,Geissois,biagiana,,Cunoniaceae
,Genipa,americana,,Rubiaceae
,Gilbertiodendron,brachystegioides,,Leguminosae
,Gilbertiodendron,dewevrei,,Leguminosae
,Gilbertiodendron,mayombense,,Leguminosae
,Gilbertiodendron,preussii,,Leguminosae
,Gleditsia,triacanthos,,Leguminosae
,Gluta,curtisii,,Anacardiaceae
,Gluta,papuana,,Anacardiaceae
,Gluta,renghas,,Anacardiaceae
,Gluta,tourtour,,Anacardiaceae
,Gluta,wallichii,,Anacardiaceae
,Glycydendron,amazonicum,,Euphorbiaceae
,Gmelina,arborea,,Lamiaceae
,Gmelina,fasciculiflora,,Lamiaceae
,Gmelina,leichardtii,,Lamiaceae
,Gmelina,moluccana,,Lamiaceae
,Gonioma,kamassi,,Apocynaceae
,Gonystylus,bancanus,,Thymelaeaceae
,Gonystylus,forbesii,,Thymelaeaceae
,Gonystylus,macrophyllus,,Thymelaeaceae
,Gossweilerodendron,balsamiferum,,Leguminosae
,Gossweilerodendron,joveri,,Leguminosae
,Goupia,glabra,,Goupiaceae
,Grevillea,robusta,,Proteaceae
,Grevillea,striata,,Proteaceae
,Grewia,eriocarpa,,Malvaceae
,Grewia,elastica,,Malvaceae
,Guaiacum,coulteri,,Zygophyllaceae
,Guaiacum,officinale,,Zygophyllaceae
,Guaiacum,sanctum,,Zygophyllaceae
,Guarea,cedrata,,Meliaceae
,Guarea,glabra,,Meliaceae
,Guarea,excelsa,,Meliaceae
,Guarea,guidonia,,Meliaceae
,Guarea,laurentii,,Meliaceae
,Guarea,thompsonii,,Meliaceae
,Guazuma,ulmifolia,,Malvaceae
,Guibourtia,arnoldiana,,Leguminosae
,Guibourtia,coleosperma,,Leguminosae
,Guibourtia,conjugata,,Leguminosae
,Guibourtia,demeusei,,Leguminosae
,Guibourtia,ehie,,Leguminosae
,Guibourtia,pellegriniana,,Leguminosae
,Guibourtia,schliebenii,,Leguminosae
,Guibourtia,tessmannii,,Leguminosae
,Gymnanthes,lucida,,Euphorbiaceae
,Gymnocladus,dioica,,Leguminosae
,Haematoxylum,campechianum,,Leguminosae
,Haldina,cordifolia,,Rubiaceae
,Hamamelis,virginiana,,Hamamelidaceae
,Handroanthus,capitatus,,Bignoniaceae
,Tabebuia,capitata,,Bignoniaceae
,Handroanthus,guayacan,,Bignoniaceae
,Handroanthus,heptaphyllus,,Bignoniaceae
,Handroanthus,serratifolius,,Bignoniaceae
,Haplormosia,monophylla,,Leguminosae
,Hardwickia,binata,,Leguminosae
,Harpullia,arborea,,Sapindaceae
,Harungana,madagascariensis,,Hypericaceae
,Hazomalania,voyronii,,Hernandiaceae
,Hernandia,voyronii,,Hernandiaceae
,Helicostylis,tomentosa,,Moraceae
,Heliocarpus,americanus,,Malvaceae
,Heliocarpus,popayanensis,,Malvaceae
,Heritiera,borneensis,,Malvaceae
,Heritiera,densiflora,,Malvaceae
,Heritiera,elata,,Malvaceae
,Heritiera,javanica,,Malvaceae
,Heritiera,littoralis,,Malvaceae
,Heritiera,ornithocephala,,Malvaceae
,Heritiera,simplicifolia,,Malvaceae
,Hevea,brasiliensis,,Euphorbiaceae
,Hibiscus,elatus,,Malvaceae
,Hibiscus,lasiococcus,,Malvaceae
,Hibiscus,tilliaceus,,Malvaceae
,Hieronyma,alchorneoides,,Phyllanthaceae
,Hieronyma,oblonga,,Phyllanthaceae
,Holoptelea,grandis,,Ulmaceae
,Homalium,bhamoense,,Salicaceae
,Homalium,foetidum,,Salicaceae
,Homalium,le-testui,,Salicaceae
,Homalium,longifolium,,Salicaceae
,Hopea,acuminata,,Dipterocarpaceae
,Hopea,beccariana,,Dipterocarpaceae
,Hopea,dryobalanoides,,Dipterocarpaceae
,Hopea,ferrea,,Dipterocarpaceae
,Hopea,forbesii,,Dipterocarpaceae
,Hopea,foxworthyi,,Dipterocarpaceae
,Hopea,helferi,,Dipterocarpaceae
,Hopea,iriana,,Dipterocarpaceae
,Hopea,mengarawan,,Dipterocarpaceae
,Hopea,nervosa,,Dipterocarpaceae
,Hopea,nutans,,Dipterocarpaceae
,Hopea,odorata,,Dipterocarpaceae
,Hopea,sangal,,Dipterocarpaceae
,Hopea,scaphula,,Dipterocarpaceae
,Hopea,semicuneata,,Dipterocarpaceae
,Horsfieldia,amygdalina,,Myristicaceae
,Horsfieldia,brachiata,,Myristicaceae
,Horsfieldia,bracteosa,,Myristicaceae
,Horsfieldia,flocculosa,,Myristicaceae
,Horsfieldia,glabra,,Myristicaceae
,Horsfieldia,irya,,Myristicaceae
,Horsfieldia,lauterbachii,,Myristicaceae
,Horsfieldia,pilifera,,Myristicaceae
,Horsfieldia,punctatifolia,,Myristicaceae
,Horsfieldia,ralunensis,,Myristicaceae
,Horsfieldia,spicata,,Myristicaceae
,Horsfieldia,sucosa,,Myristicaceae
,Horsfieldia,superba,,Myristicaceae
,Horsfieldia,trifida,,Myristicaceae
,Horsfieldia,wallichii,,Myristicaceae
,Huertea,cubensis,,Tapisciaceae
,Humbertia,madagascariensis,,Convolvulaceae
,Humiria,balsamifera,,Humiriaceae
,Hura,crepitans,,Euphorbiaceae
,Hura,polyandra,,Euphorbiaceae
,Hymenaea,courbaril,,Leguminosae
,Hymenaea,intermedia,,Leguminosae
,Hymenolobium,elatum,,Leguminosae
,Hymenolobium,excelsum,,Leguminosae
,Hymenolobium,flavum,,Leguminosae
,Hymenolobium,petraeum,,Leguminosae
,Hypelate,trifoliata,,Sapindaceae
,Ilex,aggregata,,Aquifoliaceae
,Ilex,amplifolia,,Aquifoliaceae
,Ilex,anomala,,Aquifoliaceae
,Ilex,aquifolium,,Aquifoliaceae
,Ilex,boliviana,,Aquifoliaceae
,Ilex,laurina,,Aquifoliaceae
,Ilex,mitis,,Aquifoliaceae
,Ilex,opaca,,Aquifoliaceae
,Ilex,petiolaris,,Aquifoliaceae
,Ilex,parviflora,,Aquifoliaceae
,Inga,alba,,Leguminosae
,Inga,pezizifera,,Leguminosae
,Intsia,bijuga,,Leguminosae
,Intsia,palembanica,,Leguminosae
,Irvingia,gabonensis,,Irvingiaceae
,Irvingia,grandifolia,,Irvingiaceae
,Irvingia,malayana,,Irvingiaceae
,Isoberlinia,doka,,Leguminosae
,Isoberlinia,scheffleri,,Leguminosae
,Jacaranda,acutifolia,,Bignoniaceae
,Jacaranda,caroba,,Bignoniaceae
,Jacaranda,copaia,,Bignoniaceae
,Jacaranda,cuspidifolia,,Bignoniaceae
,Jacaranda,micrantha,,Bignoniaceae
,Jacaranda,mimosifolia,,Bignoniaceae
,Jacaranda,obtusifolia,,Bignoniaceae
,Jacaranda,rhombifolia,,Bignoniaceae
,Jacaranda,obtusifolia,,Bignoniaceae
,Jacaranda,puberula,,Bignoniaceae
,Jacaranda,semiserrata,,Bignoniaceae
,Juglans,australis,,Juglandaceae
,Juglans,boliviana,,Juglandaceae
,Juglans,cinerea,,Juglandaceae
,Juglans,hindsii,,Juglandaceae
,Juglans,jamaicensis,,Juglandaceae
,Juglans,neotropica,,Juglandaceae
,Juglans,nigra,,Juglandaceae
,Juglans,olanchana,,Juglandaceae
,Juglans,regia,,Juglandaceae
,Julbernardia,globiflora,,Leguminosae
,Julbernardia,pellegriniana,,Leguminosae
,Kalmia,latifolia,,Ericaceae
,Kalopanax,septemlobus,,Araliaceae
,Khaya,anthotheca,,Meliaceae
,Khaya,grandifoliola,,Meliaceae
,Khaya,ivorensis,,Meliaceae
,Khaya,nyasica,,Meliaceae
,Khaya,senegalensis,,Meliaceae
,Kigelia,africana,,Bignoniaceae
,Klainedoxa,gabonensis,,Irvingiaceae
,Knema,conferta,,Myristicaceae
,Kokoona,littoralis,,Celastraceae
,Kokoona,reflexa,,Celastraceae
,Koompassia,excelsa,,Leguminosae
,Koompassia,malaccensis,,Leguminosae
,Koordersiodendron,pinnatum,,Anacardiaceae
,Krugiodendron,ferreum,,Rhamnaceae
,Lagerstroemia,angustifolia,,Lythraceae
,Lagerstroemia,balansae,,Lythraceae
,Lagerstroemia,calyculata,,Lythraceae
,Lagerstroemia,cochinchinensis,,Lythraceae
,Lagerstroemia,duppereana,,Lythraceae
,Lagerstroemia,floribunda,,Lythraceae
,Lagerstroemia,hypoleuca,,Lythraceae
,Lagerstroemia,ovalifolia,,Lythraceae
,Lagerstroemia,piriformis,,Lythraceae
,Lagerstroemia,speciosa,,Lythraceae
,Lagerstroemia,tomentosa,,Lythraceae
,Lannea,coromandelica,,Anacardiaceae
,Lannea,grandis,,Anacardiaceae
,Lannea,welwitschii,,Anacardiaceae
,Laurelia,novae-zelandiae,,Atherospermataceae
,Laurelia,sempervirens,,Atherospermataceae
,Laureliopsis,philippiana,,Atherospermataceae
,Lecythis,lurida,,Lecythidaceae
,Lemurophoenix,halleuxii,,Arecaceae
,Letestua,durissima,,Sapotaceae
,Leucaena,pulverulenta,,Leguminosae
,Leucaena,trichodes,,Leguminosae
,Licania,divaricata,,Chrysobalanaceae
,Licania,heteromorpha,,Chrysobalanaceae
,Licania,hypoleuca,,Chrysobalanaceae
,Licania,macrophylla,,Chrysobalanaceae
,Licania,platypus,,Chrysobalanaceae
,Licania,sparsipilis,,Chrysobalanaceae
,Licaria,canella,,Lauraceae
,Licaria,capitata,,Chrysobalanaceae
,Licaria,subbullata,,Lauraceae
,Liquidambar,formosana,,Altingiaceae
,Liquidambar,styraciflua,,Altingiaceae
,Liriodendron,tulipifera,,Magnoliaceae
,Lithocarpus,amygdalifolius,,Fagaceae
,Lithocarpus,cyrtorhyncha,,Fagaceae
,Lithocarpus,daphnoideus,,Fagaceae
,Lithocarpus,henryi,,Fagaceae
,Lithocarpus,solerianus,,Fagaceae
,Lithocarpus,vinkii,,Fagaceae
,Litsea,ferruginea,,Lauraceae
,Litsea,reticulata,,Lauraceae
,Lonchocarpus,castilloi,,Leguminosae
,Lonchocarpus,leucanthus,,Leguminosae
,Lophira,alata,,Ochnaceae
,Lophopetalum,beccarianum,,Celastraceae
,Lophopetalum,duperreanum,,Celastraceae
,Lophopetalum,floribundum,,Celastraceae
,Lophopetalum,javanum,,Celastraceae
,Lophopetalum,multinervium,,Celastraceae
,Lophopetalum,pachyphyllum,,Celastraceae
,Lophopetalum,pallidum,,Celastraceae
,Lophopetalum,rigidum,,Celastraceae
,Lophopetalum,subobovatum,,Celastraceae
,Lophopetalum,wightianum,,Celastraceae
,Lovoa,brownii,,Meliaceae
,Lovoa,swynnertonii,,Meliaceae
,Lovoa,trichilioides,,Meliaceae
,Loxopterygium,sagotii,,Anacardiaceae
,Luehea,divaricata,,Malvaceae
,Lysiloma,latisiliquum,,Leguminosae
,Machaerium,scleroxylon,,Leguminosae
,Machaerium,villosum,,Leguminosae
,Maclura,pomifera,,Moraceae
,Maclura,tinctoria,,Moraceae
,Macrolobium,acaciifolium,,Leguminosae
,Macrolobium,bifolium,,Leguminosae
,Madhuca,aspera,,Sapotaceae
,Madhuca,bejaudii,,Sapotaceae
,Madhuca,betis,,Sapotaceae
,Madhuca,lanceolata,,Sapotaceae
,Madhuca,longifolia,,Sapotaceae
,Madhuca,longifolia,,Sapotaceae
,Madhuca,longifolia,,Sapotaceae
,Madhuca,malaccensis,,Sapotaceae
,Madhuca,motleyana,,Sapotaceae
,Madhuca,neriifolia,,Sapotaceae
,Madhuca,pasquieri,,Sapotaceae
,Madhuca,philippinensis,,Sapotaceae
,Madhuca,pierrei,,Sapotaceae
,Madhuca,sericera,,Sapotaceae
,Madhuca,utilis,,Sapotaceae
,Maesopsis,eminii,,Rhamnaceae
,Magnolia,acuminata,,Magnoliaceae
,Magnolia,grandiflora,,Magnoliaceae
,Magnolia,pubescens,,Magnoliaceae
,Magnolia,sororum,,Magnoliaceae
,Magnolia,tsiampacca,,Magnoliaceae
,Elmerrillia,mollis,,Magnoliaceae
,Magnolia,tsiampacca,,Magnoliaceae
,Magnolia,virginiana,,Magnoliaceae
,Magnolia,vrieseana,,Magnoliaceae
,Elmerrillia,ovalis,,Magnoliaceae
,Magnolia,yoroconte,,Magnoliaceae
,Malus,domestica,,Rosaceae
,Malus,pumila,,Rosaceae
,Malus,sylvestris,,Rosaceae
,Mammea,africana,,Calophyllaceae
,Mammea,americana,,Calophyllaceae
,Mangifera,altissima,,Anacardiaceae
,Mangifera,caloneura,,Anacardiaceae
,Mangifera,foetida,,Anacardiaceae
,Mangifera,indica,,Anacardiaceae
,Mangifera,mucronulata,,Anacardiaceae
,Mangifera,salomonensis,,Anacardiaceae
,Manilkara,bidentata,,Sapotaceae
,Manilkara,celebica,,Sapotaceae
,Manilkara,fasciculata,,Sapotaceae
,Manilkara,hexandra,,Sapotaceae
,Manilkara,huberi,,Sapotaceae
,Manilkara,kanosiensis,,Sapotaceae
,Manilkara,kauki,,Sapotaceae
,Manilkara,zapota,,Sapotaceae
,Mansonia,altissima,,Malvaceae
,Maquira,sclerophylla,,Moraceae
,Marmaroxylon,racemosum,,Leguminosae
,Marojejya,darianii,,Arecaceae
,Martiodendron,excelsum,,Leguminosae
,Martiodendron,parviflorum,,Leguminosae
,Melaleuca,leucadendra,,Myrtaceae
,Melaleuca,quinquenervia,,Myrtaceae
,Melanoxylon,brauna,,Leguminosae
,Melia,azedarach,,Meliaceae
,Mesua,ferrea,,Calophyllaceae
,Metopium,brownei,,Anacardiaceae
,Mezilaurus,ita-uba,,Lauraceae
,Mezilaurus,lindaviana,,Lauraceae
,Mezilaurus,navalium,,Lauraceae
,Mezzettia,parviflora,,Annonaceae
,Microberlinia,bisulcata,,Leguminosae
,Microberlinia,brazzavillensis,,Leguminosae
,Micropholis,gardneriana,,Sapotaceae
,Micropholis,guyanensis,,Sapotaceae
,Micropholis,melinoniana,,Sapotaceae
,Micropholis,venulosa,,Sapotaceae
,Mildbraediodendron,excelsum,,Leguminosae
,Milicia,excelsa,,Moraceae
,Milicia,regia,,Moraceae
,Millettia,laurentii,,Leguminosae
,Millettia,leucantha,,Leguminosae
,Millettia,stuhlmannii,,Leguminosae
,Mimusops,elengi,,Sapotaceae
,Minquartia,guianensis,,Olacaceae
,Mitragyna,parvifolia,,Rubiaceae
,Mora,excelsa,,Leguminosae
,Mora,gonggrijpii,,Leguminosae
,Moringa,oleifera,,Moringaceae
,Morus,alba,,Moraceae
,Morus,mesozygia,,Moraceae
,Morus,nigra,,Moraceae
,Morus,rubra,,Moraceae
,Mouriri,huberi,,Melastomataceae
,Musanga,cecropioides,,Urticaceae
,Myrcianthes,pungens,,Myrtaceae
,Myristica,buchneriana,,Myristicaceae
,Myristica,chartacea,,Myristicaceae
,Myristica,elliptica,,Myristicaceae
,Myristica,gigantea,,Myristicaceae
,Myristica,hypargyraea,,Myristicaceae
,Myristica,iners,,Myristicaceae
,Myristica,lowiana,,Myristicaceae
,Myristica,maingayi,,Myristicaceae
,Myristica,maxima,,Myristicaceae
,Myristica,simiarum,,Myristicaceae
,Myrocarpus,fastigiatus,,Leguminosae
,Myrocarpus,frondosus,,Leguminosae
,Myroxylon,balsamum,,Leguminosae
,Myroxylon,peruiferum,,Leguminosae
,Nauclea,diderrichii,,Rubiaceae
,Nauclea,orientalis,,Rubiaceae
,Nectandra,lanceolata,,Lauraceae
,Nectandra,megapotamica,,Lauraceae
,Neobalanocarpus,heimii,,Dipterocarpaceae
,Neolamarckia,cadamba,,Rubiaceae
,Neonauclea,calycina,,Rubiaceae
,Nephelium,lappaceum,,Sapindaceae
,Nesogordonia,papaverifera,,Malvaceae
,Newtonia,buchananii,,Leguminosae
,Nothaphoebe,elata,,Lauraceae
,Nothaphoebe,kingiana,,Lauraceae
,Nothaphoebe,panduriformis,,Lauraceae
,Nothaphoebe,spathulata,,Lauraceae
,Nothaphoebe,umbelliflora,,Lauraceae
,Nothofagus,alpina,,Nothofagaceae
,Nothofagus,cunninghamii,,Nothofagaceae
,Nothofagus,dombeyi,,Nothofagaceae
,Nothofagus,menziesii,,Nothofagaceae
,Nothofagus,obliqua,,Nothofagaceae
,Nothofagus,pumilio,,Nothofagaceae
,Notholithocarpus,densiflorus,,Fagaceae
,Nyssa,aquatica,,Cornaceae
,Nyssa,ogeche,,Cornaceae
,Nyssa,sylvatica,,Cornaceae
,Ochanostachys,amentacea,,Olacaceae
,Ochroma,pyramidale,,Malvaceae
,Ocotea,comoriensis,,Lauraceae
,Ocotea,porosa,,Lauraceae
,Ocotea,puberula,,Lauraceae
,Ocotea,thouvenotii,,Lauraceae
,Ocotea,usambarensis,,Lauraceae
,Octomeles,sumatrana,,Tetramelaceae 
,Oenocarpus,bataua,,Arecaceae
,Oldfieldia,africana,,Picrodendraceae
,Olea,capensis,,Oleaceae
,Olea,europaea,,Oleaceae
,Olea,welwitschii,,Oleaceae
,Olneya,tesota,,Leguminosae
,Ongokea,gore,,Olacaceae
,Ormosia,coccinea,,Leguminosae
,Ormosia,coutinhoi,,Leguminosae
,Ormosia,monosperma,,Leguminosae
,Ormosia,nobilis,,Leguminosae
,Ormosia,paraensis,,Leguminosae
,Ostrya,virginiana,,Betulaceae
,Oxandra,lanceolata,,Annonaceae
,Oxydendrum,arboreum,,Ericaceae
,Oxystigma,buchholzii,,Leguminosae
,Oxystigma,gilbertii,,Leguminosae
,Oxystigma,mannii,,Leguminosae
,Oxystigma,oxyphyllum,,Leguminosae
,Pachira,quinata,,Malvaceae
,Palaquium,ellipticum,,Sapotaceae
,Palaquium,fidjiense,,Sapotaceae
,Palaquium,gutta,,Sapotaceae
,Palaquium,hexandrum,,Sapotaceae
,Palaquium,hispidum,,Sapotaceae
,Palaquium,hornei,,Sapotaceae
,Palaquium,impressionervium,,Sapotaceae
,Palaquium,maingayi,,Sapotaceae
,Palaquium,obovatum,,Sapotaceae
,Palaquium,philippense,,Sapotaceae
,Palaquium,regina-montium,,Sapotaceae
,Palaquium,rostratum,,Sapotaceae
,Palaquium,semaram,,Sapotaceae
,Palaquium,sumatranum,,Sapotaceae
,Palaquium,walsurifolium,,Sapotaceae
,Parapiptadenia,rigida,,Leguminosae
,Parashorea,aptera,,Dipterocarpaceae
,Parashorea,densiflora,,Dipterocarpaceae
,Parashorea,lucida,,Dipterocarpaceae
,Parashorea,macrophylla,,Dipterocarpaceae
,Parashorea,malaanonan,,Dipterocarpaceae
,Parashorea,parvifolia,,Dipterocarpaceae
,Parashorea,plicata,,Dipterocarpaceae
,Parashorea,smythiesii,,Dipterocarpaceae
,Parashorea,tomentella,,Dipterocarpaceae
,Paratecoma,peroba,,Bignoniaceae
,Parinari,campestris,,Chrysobalanaceae
,Parinari,curatellifolia,,Chrysobalanaceae
,Parinari,excelsa,,Chrysobalanaceae
,Parishia,insignis,,Anacardiaceae
,Parkia,bicolor,,Leguminosae
,Parkia,pendula,,Leguminosae
,Paulownia,tomentosa,,Paulowniaceae
,Payena,acuminata,,Sapotaceae
,Payena,leerii,,Sapotaceae
,Payena,lucida,,Sapotaceae
,Payena,maingayi,,Sapotaceae
,Payena,obscura,,Sapotaceae
,Peltogyne,maranhensis,,Leguminosae
,Peltogyne,paniculata,,Leguminosae
,Peltogyne,paniculata,,Leguminosae
,Peltogyne,pubescens,,Leguminosae
,Peltogyne,porphyrocardia,,Leguminosae
,Peltogyne,venosa,,Leguminosae
,Peltophorum,dasyrhachis,,Leguminosae
,Peltophorum,dubium,,Leguminosae
,Pentace,adenophora,,Malvaceae
,Pentace,burmanica,,Malvaceae
,Pentace,curtisii,,Malvaceae
,Pentace,laxiflora,,Malvaceae
,Pentace,triptera,,Malvaceae
,Pentaclethra,macroloba,,Leguminosae
,Pentaclethra,macrophylla,,Leguminosae
,Pentacme,contorta,,Dipterocarpaceae
