genus,species,common_names,regions
Abarema,jupunba,huruasa,GUY
Acacia,auriculiformis,acacia,AUS;IDN;MYS;PNG;THA;GBR;USA
Acacia,mangium,acacia,AUS;IDN;MYS;PNG;THA;GBR;USA
Adina,cordifolia,haldu,KHM;IND;IDN;LAO;MYS;MMR;PHL;LKA;THA;VNM
Adina,microcephala,mugonha,
Afrormosia,elata,afrormosia,CMR;CAF;CIV;GHA;COD;FRA
Afzelia,africana,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Afzelia,bella,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Afzelia,bipindensis,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Afzelia,cuanzensis,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Afzelia,pachyloba,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Aglaia,spp.,tasua,
Albizia,adianthifolia,mepepe,
Albizia,angolensis,iatandza,AGO;BEN;CMR;COG;CIV;GAB;GHA;LBR;NGA;UGA;COD;GBR
Albizia,falcataria,batai,PHL;IDN;MYS;GBR
Albizia,fastigiata,mepepe,
Albizia,ferruginea,iatandza,AGO;BEN;CMR;COG;CIV;GAB;GHA;LBR;NGA;UGA;COD;GBR
Albizia,gummifera,mepepe,
Albizia,lebbek,kokko,BGD;PHL;IND;IDN;MYS;NPL;THA;VNM;FRA;ESP;GBR
Albizia,saman,kungkur,
Albizia,zygia,mepepe,
Alchornea,triplinervia,tapiá,BRA
Alexa,spp.,haiari,BRA;GUY;SUR
Allantoma,integrifolia,jequitiba,BOL;BRA
Alstonia,angustiloba,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Alstonia,boonei,emien,NGA;UGA;GBR
Alstonia,congensis,emien,NGA;UGA;GBR
Alstonia,gilletii,emien,NGA;UGA;GBR
Alstonia,macrophylla,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Alstonia,pneumatophora,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Alstonia,scholaris,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Alstonia,spatulata,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Amblygonocarpus,andongensis,banga-wanga,
Amblygonocarpus,obtusangulus,banga-wanga,
Amburana,cearensis,cerejeira,ARG;BOL;BRA;PRY;PER
Amoora,spp.,tasua,
Amphimas,pterocarpoides,lati,CMR;CIV;GHA;COG
Amphimas,spp.,lati,CMR;CIV;GHA;COG
Anacardium,excelsum,caracoli,BRA;COL;ECU;NIC;VEN
Anadenanthera,colubrina,curupay,
Andira,spp.,andira,BRA;COL;ECU;GUF;GUY;MEX;PER;SUR;TTO;VEN
Androstachys,johnsonii,mecrussé,MOZ;ZAF
Aniba,duckei,bois rose femelle,BRA
Aniba,guianensis,canelón,
Aniba,hypoglauca,gale silverballi,
Aniba,ovalifolia,gale silverballi,
Aniba,perutilis,comino crespo,BOL;BRA;COL;PER;GBR
Aniba,rosaeodora,bois rose femelle,BRA
Aningeria,altissima,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Aningeria,robusta,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Aningeria,spp.,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Aningeria,superba,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Anisoptera,costata,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,curtisii,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,laevis,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,marginata,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,oblonga,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,spp.,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,thurifera,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anopyxis,ealaensis,bodioa,
Anopyxis,klaineana,bodioa,
Anthocephalus,cadamba,kadam,IDN;MYS;MMR;PHL
Anthocephalus,macrophyllus,kadam,IDN;MYS;MMR;PHL
Anthonotha,fragrans,kibakoko,
Antiaris,africana,ako,AGO;CIV;GHA;NGA;TZA;UGA;COD;DEU;GBR
Antiaris,toxicaria,ako;ako,AGO;CIV;GHA;NGA;TZA;UGA;COD;DEU;GBR;AGO;CIV;GHA;NGA;TZA;UGA;COD;DEU;GBR
Antiaris,welwitschii,ako,AGO;CIV;GHA;NGA;TZA;UGA;COD;DEU;GBR
Antonia,ovata,inyak,
Antrocaryon,klaineanum,onzabili,AGO;CMR;CIV;GNQ;GAB;GHA;COD;PRT
Antrocaryon,micraster,onzabili,AGO;CMR;CIV;GNQ;GAB;GHA;COD;PRT
Antrocaryon,nannanii,onzabili,AGO;CMR;CIV;GNQ;GAB;GHA;COD;PRT
Artocarpus,spp.,keledang (terap),IDN;MYS;PHL;THA
Aspidosperma,spp.,pau marfim (peroba rosa),BLZ;BOL;BRA;COL;GUF;GTM;GUY;HND;MEX;PAN;PER;SUR;VEN
Astronium,balansae,urunday,ARG;BOL;BRA;PRY
Astronium,concinnum,urunday,ARG;BOL;BRA;PRY
Astronium,graveolens,urunday,ARG;BOL;BRA;PRY
Astronium,urundeuva,urunday,ARG;BOL;BRA;PRY
Aucoumea,klaineana,okoumé,COG;GNQ;GAB;GBR
Autranella,congolensis,mukulungu,AGO;CMR;CAF;COG;COD;GAB;NGA
Bagassa,guianensis,tatajuba,BRA;GUF;SUR
Baikiaea,plurijuga,umgusi,
Baillonella,toxisperma,moabi,CMR;COG;GNQ;GAB;COD;GBR
Balanocarpus,heimii,chengal,IDN;MYS;THA
Baphia,nitida,okoué,
Baphia,pubescens,okoué,
Barringtonia,asiatica,botong,
Beilschmiedia,congolana, kanda rose) kanda (kanda brun,CMR;CAF;CIV;GAB;TZA
Beilschmiedia,gaboonensis, kanda rose) kanda (kanda brun,CMR;CAF;CIV;GAB;TZA
Beilschmiedia,hutchinsoniana, kanda rose) kanda (kanda brun,CMR;CAF;CIV;GAB;TZA
Beilschmiedia,letouzeyi, kanda rose) kanda (kanda brun,CMR;CAF;CIV;GAB;TZA
Beilschmiedia,mannii, kanda rose) kanda (kanda brun,CMR;CAF;CIV;GAB;TZA
Beilschmiedia,oblongifolia, kanda rose) kanda (kanda brun,CMR;CAF;CIV;GAB;TZA
Beilschmiedia,spp., kanda rose) kanda (kanda brun,CMR;CAF;CIV;GAB;TZA
Berlinia,bifoliolata,ekaba,CMR;COG;GNQ;GAB;LBR;DEU;NLD;ESP;GBR
Berlinia,bracteosa,ebiara,AGO;BEN;CMR;COG;COD;CIV;GAB;GHA;NGA;SLE;DEU;GBR
Berlinia,confusa,ebiara,AGO;BEN;CMR;COG;COD;CIV;GAB;GHA;NGA;SLE;DEU;GBR
Berlinia,grandiflora,ebiara,AGO;BEN;CMR;COG;COD;CIV;GAB;GHA;NGA;SLE;DEU;GBR
Berlinia,seretii,alumbi,
Bertholletia,excelsa,castanheiro para,BRA;COL;FRA;GBR
Bobgunnia,fistuloides,pao rosa,CMR;COG;CIV;CAF;COD;GAB;MOZ;NGA
Bobgunnia,madagascariensis,pao rosa,CMR;COG;CIV;CAF;COD;GAB;MOZ;NGA
Bocoa,prouacensis,wamara,
Bombacopsis,quinata,saqui-saqui,COL;VEN
Bombax,brevicuspe,kondroti,BEN;CMR;COG;CIV;GAB;GHA;MOZ;NGA;TZA;GBR
Bombax,buonopozense,kapokier,
Bombax,chevalieri,kondroti,BEN;CMR;COG;CIV;GAB;GHA;MOZ;NGA;TZA;GBR
Bombax,flammeum,kapokier,
Bombax,pentandrum,fuma (fromager),CMR;COG;CIV;GHA;LBR;NGA;SLE;COD;FRA;DEU;GBR
Bombax,rhodognaphalon,kondroti,BEN;CMR;COG;CIV;GAB;GHA;MOZ;NGA;TZA;GBR
Bowdichia,nitida,sucupira,BRA;COL;GUF;GUY;PER;SUR;VEN
Brachylaena,huillensis,mühühü,COG;KEN;ZAF;TZA;UGA;GBR
Brachylaena,hutchinsii,mühühü,COG;KEN;ZAF;TZA;UGA;GBR
Brachystegia,boehmii,mjombo,
Brachystegia,cynometroides,naga,CMR;CIV;GAB;LBR;NGA;SLE;GBR
Brachystegia,eurycoma,naga,CMR;CIV;GAB;LBR;NGA;SLE;GBR
Brachystegia,laurentii,bomanga,CMR;COG;COD;GAB;FRA;GBR
Brachystegia,leonensis,naga,CMR;CIV;GAB;LBR;NGA;SLE;GBR
Brachystegia,mildbraedii,bomanga,CMR;COG;COD;GAB;FRA;GBR
Brachystegia,nigerica,naga,CMR;CIV;GAB;LBR;NGA;SLE;GBR
Brachystegia,nzang,bomanga,CMR;COG;COD;GAB;FRA;GBR
Brachystegia,spiciformis,messassa,
Brachystegia,zenkeri,bomanga,CMR;COG;COD;GAB;FRA;GBR
Breviea,leptosperma,apobeaou,
Bridelia,aubrevillei,assas,
Brosimum,alicastrum,capomo ,
Brosimum,guianense,amourette,GUF;PER;SUR;VEN;GBR
Brosimum,parinarioides,amapa,BRA
Brosimum,rubescens,muira-piranga,BRA;GUF;GUY;SUR;ITA;ESP;GBR
Brownea,spp.,rose of the mountain,
Buchenavia,spp.,tanimbuca,
Bucida,buceras,jùraco,
Bulnesia,sarmientoi,galacwood,
Burkea,africana,mukarati,
Bursera,simaruba,almácigo,FRA;GBR
Butyrospermum,paradoxum,karité,
Butyrospermum,parkii,karité,
Caesalpinia,echinata,pernambouc,BRA
Caesalpinia,pluviosa,momoqui,
Calophyllum,brasiliense,jacareuba,BRA
Calophyllum,spp.,bintangor,IDN;MDG;MYS;MMR;NCL;PNG;PHL;SLB;THA;VNM;VUT
Calycophyllum,spruceanum,pau mulato,ECU
Campnosperma,gummifera,orey,
Campnosperma,panamense,orey,
Canarium,schweinfurtii,aielé ,AGO;CMR;CAF;COG;GAB;GHA;GNQ;NGA;UGA;COD;SLE;GBR
Canarium,spp.,kedondong,IND;IDN;MYS;PHL;THA;VNM
Carallia,borneensis,meransi,
Carallia,spp.,meransi,
Carapa,grandiflora,crabwood d’afrique,CIV;GHA;LBR;NGA;SLE;UGA;USA;GBR
Carapa,guianensis,andiroba,BRA;COL;CRI;ECU;GUY;GUF;HND;PAN;TTO;VEN
Carapa,procera,andiroba,BRA;COL;CRI;ECU;GUY;GUF;HND;PAN;TTO;VEN
Carapa,spp.,crabwood d’afrique,CIV;GHA;LBR;NGA;SLE;UGA;USA;GBR
Cariniana,brasiliensis,jequitiba,BOL;BRA
Cariniana,decandra,cachimbo,
Cariniana,integrifolia,jequitiba,BOL;BRA
Cariniana,legalis,jequitiba,BOL;BRA
Cariniana,pyriformis,abarco,VEN
Caryocar,costaricense,piquia,BRA;COL;CRI;GUY;SUR
Caryocar,spp.,piquia,BRA;COL;CRI;GUY;SUR
Cassia,siamea,djohar,FRA
Cassipourea,elliottii,pillarwood,
Cassipourea,malosana,pillarwood,
Cassipourea,spp.,pillarwood,
Castanopsis,spp.,castanopsis,
Catostemma,fragrans,baromalli,
Cedrela,angustifolia,cedro,BRA;GUF;GUY;HND;SUR
Cedrela,fissilis,cedro,BRA;GUF;GUY;HND;SUR
Cedrela,odorata,cedro,BRA;GUF;GUY;HND;SUR
Cedrela,spp.,cedro,BRA;GUF;GUY;HND;SUR
Cedrela,toona,suren,KHM;IND;IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;GBR;USA
Ceiba,pentandra,fuma (fromager);sumauma,CMR;COG;CIV;GHA;LBR;NGA;SLE;COD;FRA;DEU;GBR;BOL;BRA;COL;ECU;GUF;GUY;PER;SUR;VEN
Ceiba,samauma,sumauma,BOL;BRA;COL;ECU;GUF;GUY;PER;SUR;VEN
Ceiba,thonningii,fuma (fromager),CMR;COG;CIV;GHA;LBR;NGA;SLE;COD;FRA;DEU;GBR
Celtis,adolfi-friderici, ohia) celtis d'afrique (diania,BEN;CMR;CAF;COD;COG;CIV;GAB;GHA;KEN;LBR;NGA;UGA;DEU;GBR
Celtis,brieyi, ohia) celtis d'afrique (diania,BEN;CMR;CAF;COD;COG;CIV;GAB;GHA;KEN;LBR;NGA;UGA;DEU;GBR
Celtis,durandii, ohia) celtis d'afrique (diania,BEN;CMR;CAF;COD;COG;CIV;GAB;GHA;KEN;LBR;NGA;UGA;DEU;GBR
Celtis,gomphophylla, ohia) celtis d'afrique (diania,BEN;CMR;CAF;COD;COG;CIV;GAB;GHA;KEN;LBR;NGA;UGA;DEU;GBR
Celtis,mildbraedii, ohia) celtis d'afrique (diania,BEN;CMR;CAF;COD;COG;CIV;GAB;GHA;KEN;LBR;NGA;UGA;DEU;GBR
Celtis,spp., ohia) celtis d'afrique (diania,BEN;CMR;CAF;COD;COG;CIV;GAB;GHA;KEN;LBR;NGA;UGA;DEU;GBR
Celtis,tessmannii, ohia) celtis d'afrique (diania,BEN;CMR;CAF;COD;COG;CIV;GAB;GHA;KEN;LBR;NGA;UGA;DEU;GBR
Celtis,zenkeri, ohia) celtis d'afrique (diania,BEN;CMR;CAF;COD;COG;CIV;GAB;GHA;KEN;LBR;NGA;UGA;DEU;GBR
Centrolobium,spp.,araribà,BRA;COL;ECU;PAN;PRY;VEN
Cephalosphaera,usambarensis,mtambara,
Chlorocardium,rodiei,greenheart,BRA;GUY;VEN
Chlorophora,excelsa,iroko,AGO;CMR;COG;CIV;GNQ;GAB;GHA;LBR;MOZ;NGA;SLE;COD;BEL
Chlorophora,regia,iroko,AGO;CMR;COG;CIV;GNQ;GAB;GHA;LBR;MOZ;NGA;SLE;COD;BEL
Chlorophora,tinctoria,moral,ARG;BOL;BRA;COL;CRI;MEX;TTO
Chloroxylon,swietenia,satin ceylan,
Chorisia,spp.,lupuna,
Chrysophyllum,africanum,longhi,CMR;CAF;COG;CIV;GAB;GHA;NGA
Chrysophyllum,giganteum,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Chrysophyllum,lacourtianum,longhi,CMR;CAF;COG;CIV;GAB;GHA;NGA
Chrysophyllum,lucentifolium,goiabao,BRA
Chrysophyllum,pomiferum,limonaballi,
Chrysophyllum,sanguinolentum,balata pomme,
Chrysophyllum,spp.,longhi,CMR;CAF;COG;CIV;GAB;GHA;NGA
Chrysophyllum,subnudum,longhi,CMR;CAF;COG;CIV;GAB;GHA;NGA
Cistanthera,papaverifera,kotibé,AGO;CMR;CAF;CIV;GAB;GHA;NGA;COD;GBR
Citharexylum,fruticosum,pombeira,
Clarisia,racemosa,guariuba,BOL;BRA;COL;ECU;PER
Clathrotropis,macrocarpa,aromata,
Clausena,melioides,mafu,TZA;KEN
Cleistopholis,glauca,sobu,
Cleistopholis,patens,sobu,
Coelocaryon,preussii,ekoune,CMR;CAF;COG;COD;GNQ;GAB;NGA
Colophospermum,mopane,mopaani,
Copaifera,coleosperma,mussibi (mutenyé),ZWE;GBR
Copaifera,letestui,gheombi,CMR;GAB
Copaifera,mildbraedii,etimoé,BEN;CMR;CAF;COG;CIV;COD;GAB;GHA;NGA
Copaifera,mopane,mopaani,
Copaifera,palustris,sepetir,KHM;IDN;MYS;PHL;THA
Copaifera,religiosa,n’téné,
Copaifera,salikounda,etimoé,BEN;CMR;CAF;COG;CIV;COD;GAB;GHA;NGA
Copaifera,spp.,copaiba,ARG;BRA;COL;PAN;VEN
Cordia,abyssinica,cordia d’afrique,CMR;CAF;COG;ETH;GAB;NGA;UGA;GBR
Cordia,africana,cordia d’afrique,CMR;CAF;COG;ETH;GAB;NGA;UGA;GBR
Cordia,goeldiana,freijo,BRA
Cordia,holstii,cordia d’afrique,CMR;CAF;COG;ETH;GAB;NGA;UGA;GBR
Cordia,millenii,cordia d’afrique,CMR;CAF;COG;ETH;GAB;NGA;UGA;GBR
Cordia,platythyrsa,cordia d’afrique,CMR;CAF;COG;ETH;GAB;NGA;UGA;GBR
Cordia,spp.,canalete;cordia d’afrique,ARG;BRA;COL;CUB;MEX;VEN;CMR;CAF;COG;ETH;GAB;NGA;UGA;GBR
Cordyla,africana,metondo,TZA
Corynanthe,bequaertii,tsanya,
Corynanthe,paniculata,tsanya,
Coula,edulis,coula,
Coumarouna,oppositifolia,almendrillo,
Couratari,spp.,tauari,BRA;GUY;GUF;SUR;VEN
Cratoxylum,arborescens,geronggang;geronggang,IDN;MYS;IDN;MYS
Cratoxylum,glaucum,geronggang,IDN;MYS
Cratoxylum,lingustrinum,geronggang,IDN;MYS
Cratoxylum,polyanthum,geronggang,IDN;MYS
Croton,megalocarpus,musine,
Cryptosepalum,staudtii,tani,
Cylicodiscus,gabunensis,okan,CMR;COG;CIV;GAB;GHA;NGA
Cynometra,alexandri,muhimbi,
Cynometra,hankei,nganga,
Cynometra,spp.,kekatong;nganga,FJI;MYS;MMR;PHL;THA;
Dacryodes,buettneri,ozigo,GNQ;GAB;DEU
Dacryodes,igaganga,igaganga,
Dacryodes,klaineana,adjouaba,COD;COG;GAB
Dacryodes,pubescens,safukala,
Dacryodes,spp.,kedondong,IND;IDN;MYS;PHL;THA;VNM
Dactylocladus,stenostachys,jongkong,IDN;MYS
Dalbergia,bariensis,palissandre d'asie,KHM;LAO;THA;VNM
Dalbergia,cambodiana,palissandre d'asie,KHM;LAO;THA;VNM
Dalbergia,cochinchinensis,palissandre d'asie,KHM;LAO;THA;VNM
Dalbergia,darienensis,palissandre panama,
Dalbergia,decipularis,palissandre de rose,BRA;GUF
Dalbergia,latifolia,palissandre d'asie,KHM;LAO;THA;VNM
Dalbergia,louveli,palissandre de madagascar,FRA;GBR
Dalbergia,melanoxylon,grenadille d’afrique,TCD;COD;ETH;KEN;UGA;ZMB;ZWE;GBR
Dalbergia,monticola,palissandre de madagascar,FRA;GBR
Dalbergia,nigra,palissandre rio,
Dalbergia,normandii,palissandre de madagascar,FRA;GBR
Dalbergia,oliveri,burmese rosewood;palissandre d'asie,MMR;KHM;LAO;THA;VNM
Dalbergia,purpurascens,palissandre de madagascar,FRA;GBR
Dalbergia,retusa,cocobolo,
Dalbergia,sissoo,palissandre d'asie,KHM;LAO;THA;VNM
Dalbergia,spp.,palissandre de madagascar,FRA;GBR
Dalbergia,spruceana,palissandre para,BRA;FRA;DEU;ESP;GBR;USA;JPN
Dalbergia,stevensonii,palissandre honduras,
Dalbergia,tucurensis,palissandre de guatemala,
Dalbergia,xerophila,palissandre de madagascar,FRA;GBR
Daniellia,klainei,faro,BEN;CMR;COG;CIV;COD;GNQ;GAB;GHA;NGA;SLE;DEU;GBR
Daniellia,ogea,faro,BEN;CMR;COG;CIV;COD;GNQ;GAB;GHA;NGA;SLE;DEU;GBR
Daniellia,spp.,faro,BEN;CMR;COG;CIV;COD;GNQ;GAB;GHA;NGA;SLE;DEU;GBR
Daniellia,thurifera,faro,BEN;CMR;COG;CIV;COD;GNQ;GAB;GHA;NGA;SLE;DEU;GBR
Desbordesia,glaucescens,alep,CMR;COG;GAB;NGA
Detarium,macrocarpum,manbodé,
Detarium,senegalense,manbodé,
Dialium,aubrevillei,eyoum,CMR;COG;CIV;GAB;GNB;LBR;MOZ;COD
Dialium,bipindense,eyoum,CMR;COG;CIV;GAB;GNB;LBR;MOZ;COD
Dialium,dinklagei,eyoum,CMR;COG;CIV;GAB;GNB;LBR;MOZ;COD
Dialium,pachyphyllum,eyoum,CMR;COG;CIV;GAB;GNB;LBR;MOZ;COD
Dialium,spp.,eyoum;keranji,CMR;COG;CIV;GAB;GNB;LBR;MOZ;COD;KHM;IDN;MMR;THA;VNM;GBR
Dicorynia,guianensis,basralocus,BRA;GUF;SUR
Didelotia,africana,gombé,CMR;CIV;GAB;LBR;SLE
Didelotia,brevipaniculata,toubaouaté,
Didelotia,idae,gombé,CMR;CIV;GAB;LBR;SLE
Didelotia,letouzeyi,gombé,CMR;CIV;GAB;LBR;SLE
Didymopanax,morototoni,morototo,ARG;BRA;COL;CUB;MEX;PRI;SUR;VEN
Dillenia,aurea,simpoh,IDN;MYS;MMR;PHL;THA
Dillenia,eximia,simpoh,IDN;MYS;MMR;PHL;THA
Dillenia,spp.,simpoh,IDN;MYS;MMR;PHL;THA
Dimorphandra,spp.,aiéouéko,
Dinizia,excelsa,angelim vermelho,BRA;GUY
Diospyros,burmanica,burmese ebony,MMR
Diospyros,celebica,ebène veinée d’asie,
Diospyros,crassiflora,ebène d'afrique (ebène madagascar),BEN;CMR;CAF;COG;GNQ;GAB;NGA;DEU;GBR
Diospyros,ebenum,ebène noire d’asie ,
Diospyros,evila,ebène d'afrique (ebène madagascar),BEN;CMR;CAF;COG;GNQ;GAB;NGA;DEU;GBR
Diospyros,ferrea,ebène noire d’asie ,
Diospyros,marmorata,ebène veinée d’asie,
Diospyros,melanoxylon,ebène noire d’asie ,
Diospyros,mollis,ebène noire d’asie ,
Diospyros,mun,ebène noire d’asie ,
